,Date,Index,Measure
0,2019-09-01,Hang Seng,No restriction
1,2020-01-01,Hang Seng,"
China: No restriction
Hong Kong: Covid screening on arrivals
South Korea: No restriction
Singapore: No restriction
"
2,2020-01-23,Hang Seng,"
China: Recommended not leaving house
Hong Kong: Covid screening on arrivals
South Korea: No restriction
Singapore: Ban on arrivals from some regions
"
3,2020-01-26,Hang Seng,"
China: Require closing for all but essential workplaces; Recommended not leaving house
Hong Kong: Covid screening on arrivals
South Korea: No restriction
Singapore: Ban on arrivals from some regions
"
4,2020-02-01,Hang Seng,"
China: Require closing for all but essential workplaces; Require not leaving house with minimal exceptions
Hong Kong: Require workplace closing for some sectors; Ban on arrivals from some regions
South Korea: No restriction
Singapore: Ban on arrivals from some regions
"
5,2020-02-25,Hang Seng,"
China: Require closing for all but essential workplaces; Require not leaving house with minimal exceptions; Quarantine on arrivals from some or all regions
Hong Kong: Require workplace closing for some sectors; Recommended not leaving house; Ban on arrivals from some regions
South Korea: Recommended workplace closing; Recommended not leaving house; Ban on arrivals from some regions
Singapore: Ban on arrivals from some regions
"
6,2020-03-26,Hang Seng,"
China: Require closing for all but essential workplaces; Require not leaving house with minimal exceptions; Ban on arrivals from some regions
Hong Kong: Require workplace closing for some sectors; Recommended not leaving house; Ban on arrivals from some regions
South Korea: Require workplace closing for some sectors; Require not leaving house with exceptions for essential trips; Ban on arrivals from some regions
Singapore: Ban on arrivals from some regions
"
7,2020-04-03,Hang Seng,"
China: Require workplace closing for some sectors; Require not leaving house with minimal exceptions; Ban on arrivals from some regions
Hong Kong: Require workplace closing for some sectors; Recommended not leaving house; Ban on arrivals from some regions
South Korea: Require workplace closing for some sectors; Require not leaving house with exceptions for essential trips; Ban on arrivals from some regions
Singapore: Recommended not leaving house; Ban on arrivals from some regions
"
8,2020-04-08,Hang Seng,"
China: Require workplace closing for some sectors; Recommended not leaving house; Ban on arrivals from some regions
Hong Kong: Require workplace closing for some sectors; Recommended not leaving house; Ban on all regions or total border closure
South Korea: Require closing for all but essential workplaces; Require not leaving house with exceptions for essential trips; Ban on arrivals from some regions
Singapore: Require closing for all but essential workplaces; Require not leaving house with exceptions for essential trips; Ban on arrivals from some regions
"
9,2020-05-10,Hang Seng,"
China: Require closing for all but essential workplaces; Require not leaving house with minimal exceptions; Ban on arrivals from some regions
Hong Kong: Require workplace closing for some sectors; Recommended not leaving house; Ban on all regions or total border closure
South Korea: Require workplace closing for some sectors; Ban on arrivals from some regions
Singapore: Require closing for all but essential workplaces; Require not leaving house with exceptions for essential trips; Quarantine on arrivals from some or all regions
"
